Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	laŋin	nan	l a n g i n	"('sky', 'alor1247-munas', ""'laŋi"")"	datasets/Kui-Moru.tsv		
1	sun	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	ber	nan	b e r - - - -	"('sun', 'abui1241-fuime', 'wari')"	datasets/Kui-Moru.tsv		
2	moon	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	ur	nan	nan	"('moon', 'abui1241-fuime', 'ije')"	datasets/Kui-Moru.tsv		
3	star	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	i bra	nan	i _ b r a	"('star', 'abui1241-fuime', 'fɪri')"	datasets/Kui-Moru.tsv		
4	night	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	penen akana	nan	p e n e n _ a k - a n a	"('night', 'abui1241-petle', ""ak.'un"")"	datasets/Kui-Moru.tsv		
5	day	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	belei	nan	b e l e - i	"('day', 'kira1248', 'balleʔ')"	datasets/Kui-Moru.tsv		
7	morning	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	nelebakan	nan	n e l e b a k a n - - - - -	"('morning', 'kira1248', 'nalau baka')"	datasets/Kui-Moru.tsv		
8	yesterday	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	dona	nan	d o n a	"('yesterday', 'kira1248', 'dona')"	datasets/Kui-Moru.tsv		
9	day before yesterday	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	atain jok	nan	- a t a - i - n - _ y o k -	"('day before yesterday', 'dein1238', 'getei tiq')"	datasets/Kui-Moru.tsv		
10	tomorrow	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	aŋan	nan	a n g a n	"('tomorrow', 'kuii1253', 'aŋan')"	datasets/Kui-Moru.tsv		
11	day after tomorrow	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	ajoka	nan	#NAME?	"('day after tomorrow', 'abui1241-fuime', 'ajoku')"	datasets/Kui-Moru.tsv		
12	twilight; dawn	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	sei amai	nan	s e i _ a m a i	"('twilight; dawn', 'kuii1253', 'sei amai')"	datasets/Kui-Moru.tsv		
13	cloud	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	tebes	nan	t e b e s - - - - -	"('cloud', 'abui1241-takal', ""tä.be̞ä.'kil"")"	datasets/Kui-Moru.tsv		
14	wind	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	segel	nan	s e g e l	"('wind', 'buna1278-bobon', 'bɛl')"	datasets/Kui-Moru.tsv		
14	wind	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	ur maran	nan	u r _ m a r a n	"('wind', 'kuii1253', 'ur maran')"	datasets/Kui-Moru.tsv		
15	rain	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	anor	nan	a n o r -	"('rain', 'abui1241-fuime', 'anui')"	datasets/Kui-Moru.tsv		
17	rainbow	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	ros eil	nan	r o s _ e i l	"('rainbow', 'kuii1253', 'ros eil')"	datasets/Kui-Moru.tsv		
18	thunder	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	galagal	bunyinya	g a l a g a l	"('thunder', 'alor1249-sar-a', 'gragar')"	datasets/Kui-Moru.tsv		
19	lightning	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	blekin	"kilatan, cahaya"	b l e k i n	"('lightning', 'kuii1253', 'blekin')"	datasets/Kui-Moru.tsv		
20	earthquake	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	ku'me awar	nan	k u m é _ a w a r	"('earthquake', 'kira1248', 'koˈme')"	datasets/Kui-Moru.tsv		
21	fog	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	tabo	"kabut = fog, NOT embun = air yang menetes dari daun di pagi hari"	t a b - - o -	"('fog', 'abui1241-fuime', 'tabo')"	datasets/Kui-Moru.tsv		
22	river; stream	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	mol	nan	m o - - l	"('river; stream', 'adan1251-lawah', 'møl')"	datasets/Kui-Moru.tsv		
25	lake	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	e:r bal	nan	ee r _ b a l	"('lake', 'kafo1240', 'ijɑpɑrɑ')"	datasets/Kui-Moru.tsv		
26	mountain	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	dol	nan	d o - l	"('mountain', 'alor1247-besar', ""'dɔla balɔ'lɔkɔŋ"")"	datasets/Kui-Moru.tsv		
27	hill; ridge	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	dera	nan	d e r a -	"('hill; ridge', 'alor1247-besar', ""'dɔla"")"	datasets/Kui-Moru.tsv		
28	village	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	a'ban	nan	- a b á n -	"('village', 'adan1251-lawah', 'baŋ ʔɛme')"	datasets/Kui-Moru.tsv		
29	land; soil	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	palak	nan	p a l a k -	"('land; soil', 'kira1248', 'paˈlak')"	datasets/Kui-Moru.tsv		
30	Earth	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	buŋun	nan	b u n g u n	"('Earth', 'kuii1253', 'buŋun')"	datasets/Kui-Moru.tsv		
31	hole	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	sakola	nan	s a k o l a	"('hole', 'kuii1253', 'sakola')"	datasets/Kui-Moru.tsv		
32	stone	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	wor	nan	nan	"('stone', 'abui1241-fuime', 'vi')"	datasets/Kui-Moru.tsv		
33	coral (rock)	kuii1253	Kui-Labaing	Timor-Alor-Pantar	"3Alor, 1West"	wor pak	batu (rock) di pantai	w o r _ p a k	"('coral (rock)', 'kuii1253', 'wor pak')"	datasets/Kui-Moru.tsv		
