Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Comment	Alignment	Cognate Set	Source	Loan	Reference
0	sky	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kalːeŋ	nan	nan	('sky', 'adon1237', 'ˈkɜlɜ')	nan		
1	sun	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	lə'rːa	nan	nan	('sun', 'adon1237', 'ˈrɜra')	nan		
2	moon	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wulaŋ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
3	star	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	tə'mala	nan	nan	"('star', 'alor1247-baran', ""ta'mala"")"	nan		
4	night	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	ma'rːeŋ	nan	nan	"('night', 'alor1247-baran', ""ma'reŋ"")"	nan		
5	day	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	la'rːa	nan	nan	"('day', 'adon1237', ""rɜ'_rɔ̃"")"	nan		
6	year	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tuŋ	nan	nan	('year', 'abui1241-petle', 'tuŋ')	nan		
7	morning	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	kə'ramaŋ	nan	nan	"('morning', 'alor1247-pandai', ""kə'ramaŋ"")"	nan		
7	morning	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wura	nan	nan	"('morning', 'alor1247-munas', ""'wuraʔ"")"	nan		
8	yesterday	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wiaŋ	nan	nan	('yesterday', 'adon1237', 'ˈwia')	nan		
9	day before yesterday	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛrua 'hele	nan	nan	"('day before yesterday', 'alor1247-munas', ""'aru_'hɛlɛ"")"	nan		
10	tomorrow	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'bau	nan	nan	('tomorrow', 'adon1237', 'ˈbauk')	nan		
11	day after tomorrow	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛrua 	nan	nan	"('day after tomorrow', 'adon1237', ""ʔɜrɜ_'rua"")"	nan		
12	twilight; dawn	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'subu	nan	nan	"('twilight; dawn', 'alor1247-pandai', ""'subu"")"	nan		
12	twilight; dawn	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'manu 'kɔkɔŋ	literally 'chicken crows'	nan	"('twilight; dawn', 'alor1247-pandai', ""'manu_'kɔkɔŋ"")"	nan		
12	twilight; dawn	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛkaŋ 'dahek	nan	nan	"('twilight; dawn', 'adon1237', ""ʔekã_'dahe"")"	nan		
13	cloud	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'awaŋ	nan	nan	('cloud', 'abui1241-fuime', 'kabuti')	nan		
13	cloud	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'sapːu	I don't know what this word means, probably another word for cloud	nan	"('cloud', 'alor1247-pandai', ""'sapːu"")"	nan		
14	wind	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'aŋiŋ	nan	nan	('all', 'adon1237', 'ˈwahã_ˈkaeʔ')	nan		
15	rain	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uraŋ	nan	nan	('rain', 'adon1237', 'ˈʔurɑŋ')	nan		
16	drizzle	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uraŋ 'rɛrɛ	nan	nan	"('drizzle', 'alor1247-besar', ""'uraŋ_fa'rɛha-fa'rɛha"")"	nan		
16	drizzle	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uraŋ 'sarːik	nan	nan	"('drizzle', 'alor1247-besar', ""'uraŋ_fa'rɛha-fa'rɛha"")"	nan		
17	rainbow	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tata 'bai	nan	nan	"('rainbow', 'alor1247-besar', ""'tata_bei-bei"")"	nan		
18	thunder	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'hila	nan	nan	"('thunder', 'alor1247-besar', ""'hila"")"	nan		
19	lightning	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'hila 'biloŋ	nan	nan	"('lightning', 'adon1237', ""kɜ'hilat"")"	nan		
20	earthquake	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tana 'otaŋ	literally 'earth shake'	nan	"('earthquake', 'alor1247-besar', ""'tana_'ɔdʒaŋ"")"	nan		
20	earthquake	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛkaŋ 'otaŋ	literally 'place shake'	nan	"('earthquake', 'alor1247-munas', ""'ɛkaŋ_'ɔtaŋ"")"	nan		
21	fog	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛkaŋ 'lu	nan	nan	"('fog', 'alor1247-pandai', ""'ɛkaŋ_'lu"")"	nan		
22	river; stream	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'alu	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
23	ice	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛs	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
24	snow	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'salʤu	nan	nan	"('snow', 'alor1247-baran', ""'salʤu"")"	nan		
25	lake	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kɔlaŋ	nan	nan	"('lake', 'alor1247-munas', ""'kɔlaŋ_'nɛbɔk"")"	nan		
26	mountain	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wɔtɔ 'blɔlɔ	nan	nan	"('mountain', 'alor1247-munas', ""'wɔtɔ_b'lɔlɔk"")"	nan		
27	hill; ridge	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wɔtɔ	nan	nan	"('hill; ridge', 'alor1247-munas', ""'wɔtɔ_'wɛrɔʔ"")"	nan		
28	village	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'lawɔ	nan	nan	"('village', 'adon1237', ""lɜ'wɔː"")"	nan		
29	land; soil	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tana	nan	nan	('land; soil', 'abui1241-fuime', 'anei')	nan		
30	Earth	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'bumi	nan	nan	"('Earth', 'alor1247-besar', ""'bumi"")"	nan		
31	hole	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'waŋɡɔ	nan	nan	"('hole', 'alor1247-munas', ""'waŋɔʔ"")"	nan		
32	stone	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'watɔ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
33	coral (rock)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uhuŋ	nan	nan	"('coral (rock)', 'alor1247-pandai', ""'uhuŋ"")"	nan		
33	coral (rock)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'aŋgɛ	nan	nan	"('coral (rock)', 'alor1247-pandai', ""'aŋgɛ"")"	nan		
34	(coral) reef	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uhuŋ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
35	water (fresh)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wai	nan	nan	"('water (fresh)', 'adon1237', ""'wɑi"")"	nan		
36	sea; sea water	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tahi	nan	nan	"('sea; sea water', 'alor1247-besar', ""'tahi"")"	nan		
37	wave	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	bə'notɛŋ	nan	nan	"('wave', 'alor1247-pandai', ""bə'notɛŋ"")"	nan		
37	wave	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɔdʒɔ	breaking waves with foam	nan	"('wave', 'alor1247-munas', ""'ɔdʒɔʔ"")"	nan		
38	foam	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wuraŋ	nan	nan	('foam', 'adan1251-lawah', 'wara-wara')	nan		
39	forest	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'utaŋ	nan	nan	"('forest', 'alor1247-baran', ""u'tɑŋ"")"	nan		
39	forest	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	də'hɛk	nan	nan	"('forest', 'alor1247-munas', ""'dɛhɛk"")"	nan		
40	field	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'lata	nan	nan	('field', 'adan1251-otvai', 'laʔ')	nan		
41	island	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	nu'ha	nan	nan	"('island', 'adon1237', ""'nuha"")"	nan		
42	rice field	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'sawa	nan	nan	"('rice field', 'abui1241-takal', ""'sä.wä"")"	nan		
42	rice field	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛkaŋ  'buta	nan	nan	"('rice field', 'alor1247-pandai', ""'ɛkaŋ__'buta"")"	nan		
43	garden	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɛkaŋ 	nan	nan	"('garden', 'alor1247-besar', ""'ɛkaŋ_"")"	nan		
44	fence	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'niha	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
45	road; path; way	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'laraŋ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
46	canoe	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tena	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
47	sail (n.)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ladʒa	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
48	to sail	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'bua 	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
49	fishing hook	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kawil	nan	nan	"('fishing hook', 'abui1241-takal', ""ä.ʋe̞.'lä"")"	nan		
50	fish trap	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wuwo	bamboo fish trap	nan	"('fish trap', 'alor1247-munas', ""'wuwɔ"")"	nan		
50	fish trap	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'pukɔ	dragnet	nan	"('fish trap', 'alor1247-pandai', ""'pukɔ"")"	nan		
50	fish trap	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'knopal	small fish trap	nan	"('fish trap', 'alor1247-besar', ""ka'nopaŋ"")"	nan		
50	fish trap	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kɛr	small fish trap used by women	nan	"('fish trap', 'alor1247-pandai', ""'kɛr"")"	nan		
51	rope	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'talɛ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
52	machete	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'peda	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
53	axe	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'bali	nan	nan	('axe', 'abui1241-fuime', 'faling')	nan		
54	spear	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'turaiŋ	spear for land animals	nan	"('spear', 'alor1247-munas', ""tuŋ'raiŋ"")"	nan		
54	spear	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'rapaŋ	spear for fish	nan	"('spear', 'alor1247-munas', ""'rapaŋ"")"	nan		
55	burden stick	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'rikiŋ	nan	nan	"('burden stick', 'alor1247-pandai', ""'rikiŋ"")"	nan		
55	burden stick	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'apa 'tikiŋ 'wai	this phrase means somthing like instrument for carrying water or something like that	nan	"('burden stick', 'alor1247-pandai', ""'apa_'tikiŋ_'wai"")"	nan		
56	stick; pole	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	tə'nɛkaŋ	nan	nan	"('stick; pole', 'alor1247-munas', ""nə'kaŋ"")"	nan		
56	stick; pole	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'nɛkaŋ	nan	nan	"('stick; pole', 'alor1247-munas', ""nə'kaŋ"")"	nan		
57	digging stick	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	ka'hawulu	nan	nan	"('digging stick', 'alor1247-pandai', ""ka'hawulu"")"	nan		
59	bow	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wuhu	nan	nan	"('bow', 'adon1237', ""'wuhuʔ"")"	nan		
60	arrow	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'hupɔl	nan	nan	"('arrow', 'alor1247-besar', ""'hupɔ"")"	nan		
61	knife	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'duri	nan	nan	('knife', 'abui1241-fuime', 'lui')	nan		
62	comb	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kiri	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
63	mat	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ɔhaŋ	nan	nan	('mat', 'adon1237', 'ˈʔɔhãː')	nan		
64	needle	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'batul	nan	nan	('needle', 'adan1251-lawah', 'bátuŋ')	nan		
65	clothing	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kɔndɔ	nan	nan	"('clothing', 'alor1247-pandai', ""'kɔndɔ"")"	nan		
66	oven	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'lika	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
67	fire	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ape	nan	nan	('fire', 'adon1237', 'ˈʔape')	nan		
68	smoke	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	pə'nuhuŋ	nan	nan	('smoke', 'adon1237', 'ˈnuhũ')	nan		
69	ash	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	awɔ'kaha	(fireplace) ash	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
70	dust; fine earth	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	kə'rawu	nan	nan	('dust; fine earth', 'alor1247-munas', 'krawuʔ')	nan		
71	fireplace ash	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	awo'kaha	nan	nan	('fireplace ash', 'adon1237', 'kɜˈʔawuk')	nan		
72	mud	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'buta	nan	nan	"('mud', 'alor1247-pandai', ""'buta"")"	nan		
73	clay	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tana 'meaŋ	nan	nan	"('clay', 'alor1247-munas', ""'tana_'meaŋ"")"	nan		
74	gravel	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'watɔ 'karːik	nan	nan	"('gravel', 'alor1247-pandai', ""'watɔ_'karːik"")"	nan		
75	sand	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ane	nan	nan	"('sand', 'alor1247-besar', ""ta'nːiŋ"")"	nan		
75	sand	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'anːe	nan	nan	"('sand', 'alor1247-besar', ""ta'nːiŋ"")"	nan		
76	grass; brush	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'laduŋ	nan	nan	"('grass; brush', 'alor1247-baran', ""la'duŋ"")"	nan		
77	house	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uma	nan	nan	"('house', 'alor1247-baran', ""'ʔuma"")"	nan		
78	traditional house	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uma 'adat	nan	nan	"('traditional house', 'alor1247-besar', ""'uma_'hada"")"	nan		
78	traditional house	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kɔkɔr	nan	nan	"('traditional house', 'alor1247-pandai', ""'kɔkɔr"")"	nan		
79	barn; storage house	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	mə'nɔhi	nan	nan	"('barn; storage house', 'alor1247-pandai', ""'nɔhi"")"	nan		
79	barn; storage house	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'lada	nan	nan	('barn; storage house', 'alor1247-munas', 'ladaʔ')	nan		
79	barn; storage house	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'nɔhi	nan	nan	"('barn; storage house', 'alor1247-pandai', ""'nɔhi"")"	nan		
80	raised platform	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'dɛki	nan	nan	('raised platform', 'adan1251-otvai', 'deʔ')	nan		
80	raised platform	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'sadu	nan	nan	"('raised platform', 'alor1247-pandai', ""'sadu"")"	nan		
81	door	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'pitɛ	nan	nan	('door', 'adon1237', 'ˈpita')	nan		
82	(thatch) roof	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	tə'nakar	nan	nan	('(thatch) roof', 'adon1237', 'ˈnakɜ')	nan		
82	(thatch) roof	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'takar	nan	nan	('(thatch) roof', 'adon1237', 'ˈnakɜ')	nan		
83	roof thatch	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'luo	nan	nan	('roof thatch', 'adon1237', 'ˈluʔo')	nan		
83	roof thatch	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'takar 'luo	thatch roof 	nan	"('roof thatch', 'alor1247-pandai', ""'takar_'luo"")"	nan		
84	tree	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kaʤɔ 'pukɔŋ	nan	nan	('tree', 'adon1237', 'ˈkajo')	nan		
85	wood	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kaʤɔ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
86	bark (of tree)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kaʤɔ 'kamaŋ	nan	nan	('bark (of tree)', 'adon1237', 'kajo_ˈkaʔmã')	nan		
87	leaf	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'lɔlɔŋ	nan	nan	('leaf', 'adon1237', 'ˈlolõ')	nan		
88	branch	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kaʤɔ kə'rangak	nan	nan	"('branch', 'alor1247-munas', ""'kaʤɔ_k'raŋak"")"	nan		
88	branch	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kaʤɔ 'limaŋ	nan	nan	"('branch', 'alor1247-besar', ""'kaʤɔ_'limaŋ"")"	nan		
89	firewood	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kaʤɔ 'ape	nan	nan	('firewood', 'adon1237', 'kajo_ˈʔape')	nan		
90	rattan	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ue	nan	nan	('rattan', 'adon1237', 'ˈʔua')	nan		
90	rattan	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'lua	nan	nan	"('rattan', 'alor1247-munas', ""'lua"")"	nan		
91	root	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ramu	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
92	fruit	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ihik	nan	nan	"('fruit', 'alor1247-besar', ""i'hikiŋ"")"	nan		
92	fruit	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'punak	nan	nan	('below', 'adon1237', 'leˈrerˈʔẽ,_lali_laŋũ')	nan		
93	seed	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kuluŋ	nan	nan	('seed', 'adon1237', 'ˈkulʔũ')	nan		
94	grain; cereal	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'parɛ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
94	grain; cereal	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'apa	rice grains with skin	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
95	flower	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'buŋa	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
96	husked rice; uncooked rice	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'parɛ	nan	nan	"('husked rice; uncooked rice', 'alor1247-besar', ""'pari"")"	nan		
97	rice grains (unhusked) (raw from field)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'parɛ 'wuliŋ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
98	cooked rice	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wata 'tahak	nan	nan	('cooked rice', 'adon1237', 'wata_mɜˈnihũ')	nan		
99	rice plant	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'parɛ	nan	nan	"('rice plant', 'alor1247-besar', ""'pari"")"	nan		
100	to plant (yam)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'mula 'kura 	nan	nan	('to plant (yam)', 'abui1241-fuime', 'murua')	nan		
101	to plant (rice)	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'mula 'parɛ	nan	nan	"('to plant (rice)', 'alor1247-besar', ""'mula_'pari"")"	nan		
102	betel nut; areca	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'ua	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
103	betel vine	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'malu	nan	nan	('betel vine', 'adon1237', 'ˈmaluʔ')	nan		
104	lime	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'apu	nan	nan	('lime', 'adon1237', 'ˈʔapuʔ')	nan		
105	chew betel	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'gouŋ 'ua 'malu	eat betel (2SG)	nan	('chew betel', 'adon1237', 'ɡãːˈwuaʔ')	nan		
106	sweet potato	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'uwe 'sɛla	nan	nan	"('sweet potato', 'alor1247-munas', ""ue'sela"")"	nan		
107	cassava	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kura	nan	nan	"('cassava', 'alor1247-baran', ""'kur:a"")"	nan		
108	taro	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	kə'walːa	nan	nan	"('taro', 'alor1247-munas', ""kwə'lːaːʔ"")"	nan		
109	sago	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'sagu	nan	nan	"('sago', 'abui1241-takal', ""'sä.gu"")"	nan		
111	sugarcane	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tawːɔ	nan	nan	('sugarcane', 'adon1237', 'ˈtɜwɔ')	nan		
112	corn; maize	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wata	nan	nan	('corn; maize', 'abui1241-fuime', 'faati')	nan		
113	cooked corn	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'wata 'puna	nan	nan	('cooked corn', 'adon1237', 'wataʔ_ˈmalune')	nan		
114	coconut	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tapo	nan	nan	('coconut', 'adon1237', 'ˈtapo')	nan		
115	gwang	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	k'dabːu	nan	nan	"('gwang', 'alor1247-munas', ""k'dɛbu_'pukɔŋ"")"	nan		
116	lontar palm	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kɔli	nan	nan	"('lontar palm', 'abui1241-takal', ""äj.'qɔl"")"	nan		
117	sugar palm	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'pɔla	nan	nan	('sugar palm', 'adon1237', 'ˈpolaʔ')	nan		
118	marungga	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'mɔtɔŋ	nan	nan	('bamboo', 'adon1237', 'pɜˈrĩ')	nan		
119	gum tree; eucalyptus	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'nihɛr	nan	nan	"('gum tree; eucalyptus', 'alor1247-munas', ""'nihɛr"")"	nan		
120	bamboo	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	pa'tːuŋ	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
120	bamboo	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'au	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
121	banana	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'mukɔ	nan	nan	('banana', 'abui1241-fuime', 'musa')	nan		
122	mango	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'pao	nan	nan	('mango', 'adon1237', 'ˈpau')	nan		
123	papaya	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'sela	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
123	papaya	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tela	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
123	papaya	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'kasi	nan	nan	"('(coral) reef', 'alor1247-munas', ""'aŋgu"")"	nan		
124	jackfruit	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'naka	nan	nan	"('jackfruit', 'alor1247-besar', ""'naŋka"")"	nan		
125	breadfruit	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	pə'loka	nan	nan	"('breadfruit', 'alor1247-munas', ""p'lɔka"")"	nan		
125	breadfruit	alor1247-pandai	Alorese-Pandai	Austronesian	1Pantar, 2East	'tɔna	nan	nan	('breadfruit', 'abui1241-fuime', 'bataa_song')	nan		
